2021-04-13 20:34:14,569 [INFO   ]  ****************** Start SVIM-asm, version 1.0.2 ******************
2021-04-13 20:34:14,570 [INFO   ]  CMD: python3 /home/WzZ/miniconda3/envs/svimasm_env/bin/svim-asm haploid dd1 d1.bam /home/WzZ/01.SV_calling/00.Call_SV/00.NGS/drcv8.fa
2021-04-13 20:34:14,571 [INFO   ]  WORKING DIR: /home/WzZ/02.syri/02.sus11.1/SVIM0/dd1
2021-04-13 20:34:14,571 [INFO   ]  PARAMETER: sub, VALUE: haploid
2021-04-13 20:34:14,571 [INFO   ]  PARAMETER: working_dir, VALUE: /home/WzZ/02.syri/02.sus11.1/SVIM0/dd1
2021-04-13 20:34:14,571 [INFO   ]  PARAMETER: bam_file, VALUE: d1.bam
2021-04-13 20:34:14,571 [INFO   ]  PARAMETER: genome, VALUE: /home/WzZ/01.SV_calling/00.Call_SV/00.NGS/drcv8.fa
2021-04-13 20:34:14,571 [INFO   ]  PARAMETER: verbose, VALUE: False
2021-04-13 20:34:14,571 [INFO   ]  PARAMETER: min_mapq, VALUE: 20
2021-04-13 20:34:14,571 [INFO   ]  PARAMETER: min_sv_size, VALUE: 40
2021-04-13 20:34:14,571 [INFO   ]  PARAMETER: max_sv_size, VALUE: 100000
2021-04-13 20:34:14,571 [INFO   ]  PARAMETER: query_gap_tolerance, VALUE: 50
2021-04-13 20:34:14,572 [INFO   ]  PARAMETER: query_overlap_tolerance, VALUE: 50
2021-04-13 20:34:14,572 [INFO   ]  PARAMETER: reference_gap_tolerance, VALUE: 50
2021-04-13 20:34:14,572 [INFO   ]  PARAMETER: reference_overlap_tolerance, VALUE: 50
2021-04-13 20:34:14,572 [INFO   ]  PARAMETER: sample, VALUE: Sample
2021-04-13 20:34:14,572 [INFO   ]  PARAMETER: types, VALUE: DEL,INS,INV,DUP:TANDEM,DUP:INT,BND
2021-04-13 20:34:14,572 [INFO   ]  PARAMETER: symbolic_alleles, VALUE: False
2021-04-13 20:34:14,572 [INFO   ]  PARAMETER: tandem_duplications_as_insertions, VALUE: False
2021-04-13 20:34:14,572 [INFO   ]  PARAMETER: interspersed_duplications_as_insertions, VALUE: False
2021-04-13 20:34:14,572 [INFO   ]  PARAMETER: query_names, VALUE: False
2021-04-13 20:34:14,573 [INFO   ]  ****************** STEP 1: COLLECT ******************
2021-04-13 20:34:14,573 [INFO   ]  MODE: haploid
2021-04-13 20:34:14,573 [INFO   ]  INPUT: /home/WzZ/02.syri/02.sus11.1/SVIM0/d1.bam
2021-04-13 20:34:14,660 [INFO   ]  Processing chromosome chr1...
2021-04-13 20:34:16,600 [ERROR  ]  Overflow Error while retrieving supplementary CIGAR string. Read name: chr1, Position: 285779334, CIGAR: 272995474S1146691M1794D188367S
2021-04-13 20:34:16,600 [ERROR  ]  Overflow Error while retrieving supplementary CIGAR string. Read name: chr1, Position: 281727449, CIGAR: 268946636S1041098M2178D4342798S
2021-04-13 20:34:16,601 [ERROR  ]  Overflow Error while retrieving supplementary CIGAR string. Read name: chr1, Position: 1911616, CIGAR: 1903127S706032M624D271721373S
2021-04-13 20:34:16,602 [ERROR  ]  Overflow Error while retrieving supplementary CIGAR string. Read name: chr1, Position: 284866992, CIGAR: 272082618S510849M232D1737065S
2021-04-13 20:34:16,602 [ERROR  ]  Overflow Error while retrieving supplementary CIGAR string. Read name: chr1, Position: 283252105, CIGAR: 270467237S363243M930D3500052S
2021-04-13 20:34:16,602 [ERROR  ]  Overflow Error while retrieving supplementary CIGAR string. Read name: chr1, Position: 4034001, CIGAR: 4018656S389280M2250D269922596S
2021-04-13 20:34:16,602 [ERROR  ]  Overflow Error while retrieving supplementary CIGAR string. Read name: chr1, Position: 2893760, CIGAR: 2883875S323672M2393I271120592S
2021-04-13 20:34:16,603 [ERROR  ]  Overflow Error while retrieving supplementary CIGAR string. Read name: chr1, Position: 2618615, CIGAR: 2609516S274208M595D271446808S
2021-04-13 20:34:16,603 [ERROR  ]  Overflow Error while retrieving supplementary CIGAR string. Read name: chr1, Position: 281443298, CIGAR: 268663152S283373M527D5384007S
2021-04-13 20:34:16,603 [ERROR  ]  Overflow Error while retrieving supplementary CIGAR string. Read name: chr1, Position: 1213975, CIGAR: 1207150S311594M1203D272811788S
2021-04-13 20:34:16,603 [ERROR  ]  Overflow Error while retrieving supplementary CIGAR string. Read name: chr1, Position: 711435, CIGAR: 701972S265807M6D273362753S
2021-04-13 20:34:16,603 [ERROR  ]  Overflow Error while retrieving supplementary CIGAR string. Read name: chr1, Position: 3217456, CIGAR: 3209976S246357M608D270874199S
2021-04-13 20:34:16,604 [ERROR  ]  Overflow Error while retrieving supplementary CIGAR string. Read name: chr1, Position: 285512874, CIGAR: 272728487S266189M588I1335268S
2021-04-13 20:34:16,604 [ERROR  ]  Overflow Error while retrieving supplementary CIGAR string. Read name: chr1, Position: 23761, CIGAR: 5437S227290M143D274097805S
2021-04-13 20:34:16,604 [ERROR  ]  Overflow Error while retrieving supplementary CIGAR string. Read name: chr1, Position: 1605707, CIGAR: 1597566S261587M56D272471379S
2021-04-13 20:34:16,604 [ERROR  ]  Overflow Error while retrieving supplementary CIGAR string. Read name: chr1, Position: 4803686, CIGAR: 4786716S233055M14D269310761S
2021-04-13 20:34:16,604 [ERROR  ]  Overflow Error while retrieving supplementary CIGAR string. Read name: chr1, Position: 284511104, CIGAR: 271725848S249150M919I2354615S
2021-04-13 20:34:16,604 [ERROR  ]  Overflow Error while retrieving supplementary CIGAR string. Read name: chr1, Position: 5037058, CIGAR: 5020083S216960M847I269092642S
2021-04-13 20:34:16,605 [ERROR  ]  Overflow Error while retrieving supplementary CIGAR string. Read name: chr1, Position: 283045489, CIGAR: 270261874S205201M1033D3863457S
2021-04-13 20:34:16,605 [ERROR  ]  Overflow Error while retrieving supplementary CIGAR string. Read name: chr1, Position: 5288158, CIGAR: 5272372S206463M282I268851415S
2021-04-13 20:34:16,605 [ERROR  ]  Overflow Error while retrieving supplementary CIGAR string. Read name: chr1, Position: 507642, CIGAR: 498866S172214M193D273659452S
2021-04-13 20:34:16,605 [ERROR  ]  Overflow Error while retrieving supplementary CIGAR string. Read name: chr1, Position: 282831158, CIGAR: 270047717S151146M196D4131669S
2021-04-13 20:34:16,605 [ERROR  ]  Overflow Error while retrieving supplementary CIGAR string. Read name: chr1, Position: 3569526, CIGAR: 3561292S156925M1835D270612315S
2021-04-13 20:34:16,606 [ERROR  ]  Overflow Error while retrieving supplementary CIGAR string. Read name: chr1, Position: 284106872, CIGAR: 271323072S147082M194D2860378S
2021-04-13 20:34:16,606 [ERROR  ]  Overflow Error while retrieving supplementary CIGAR string. Read name: chr1, Position: 286969811, CIGAR: 274184004S143138M156D3390S
